scenario,jurisdiction,config_applied,cutoff,n_applications,raad,abs_raad,ci_lower,ci_upper,ci_95,air,fnr_gap,overall_psi,reference_subgroup_psi,protected_subgroup_psi,subgroup_psi_gap,affected_group,audit_group_missingness,reason_coverage_rate,status,tool_output,regulatory_interpretation,human_review_required,triggers,governance_actions
baseline,US,US,0.18,10000,0.042048154002182536,0.042048154002182536,0.034473408402714144,0.05048176173720112,"[0.034, 0.050]",0.6939880338527662,-0.276948020079822,0.0,0.0,0.0,0.0,protected_or_vulnerable_group,0.0,1.0,watch,Continue monitoring; check adverse action reason coverage,US fair lending monitoring — Not an automatic ECOA violation. Continue monitoring; check adverse action reason coverage,True,AIR=0.694 below screening threshold (0.8),"Supplementary outcome disparity review: AIR is a screening metric, not a legal conclusion"
baseline,EU,EU,0.18,10000,0.04388803767418077,0.04388803767418077,0.03415684020510229,0.04974033414005913,"[0.034, 0.050]",0.7045741312081274,-0.2598870714502406,0.0,0.0,0.0,0.0,protected_or_vulnerable_group,0.0,1.0,amber,High-risk AI bias monitoring review; update governance documentation and human oversight log,EU high-risk AI governance — High-risk AI bias monitoring review; update governance documentation and human oversight log,True,|RAAD|=0.044 exceeds amber threshold (0.03); AIR=0.705 below screening threshold (0.8),"Review adversely affected group: protected_or_vulnerable_group; Supplementary outcome disparity review: AIR is a screening metric, not a legal conclusion"
